code,product_name,brands,categories,nutriscore_grade,nova_group,ecoscore_grade,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,ingredients_text,allergens,additives_n,image_url,nutriscore_numeric,ecoscore_numeric
6111126001711,Jnane nature sans sucre,Chergui,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Desserts lactés fermentés nature, Yaourts natures",unknown,3.0,b,75.4,3.4,,7.0,,,4.2,,"lait entier, poudre de lait ecrémé, ferments lactiques",,0.0,https://images.openfoodfacts.org/images/products/611/112/600/1711/front_fr.4.400.jpg,,2.0
3033491588136,HIPRO Saveur Vanille,"Hipro, Danone","Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts,Compléments alimentaires,Spécialités laitières",not-applicable,4.0,b,53.0,0.1,0.1,3.6,3.1,,9.4,0.09,"LAIT écrémé, eau, épaississant (amidon modifié), magnésium, correcteur d'acidité (acide citrique), concentré de carotte, arôme naturel de vanille, arômes naturels, gousses de vanille épuisées, édulcorants (acésulfame-K, sucralose), ferments lactiques (LAIT), mine 89. Décor : écorce de vanille.",en:milk,4.0,https://images.openfoodfacts.org/images/products/303/349/158/8136/front_fr.110.400.jpg,,2.0
5000462416772,Greek Style Natural Yogurt,Tesco,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts,Desserts lactés fermentés nature,Yaourts natures,Yaourts à la grecque",c,1.0,b,98.7,7.5,5.1,4.2,4.2,,3.7,0.0975,Greek Style Natural Yogurt (Milk),en:milk,0.0,https://images.openfoodfacts.org/images/products/500/046/241/6772/front_en.27.400.jpg,3.0,2.0
6111032002918,Yawmi velouté pistache,danone,Yaourt velouté pistache,c,,unknown,95.0,3.0,2.0,14.7,9.0,,2.3,0.0,"منتوج حليبي ممزوج المكونات: حليب بدون قشده، سکر مسحوق الحليب بدون قشدة، مستحضرات الفواكه، قشدة مخثر (نشا)، زبدة، دهون نباتية (جوز الهند)، لاكتون نكهات، ملونات طبيعية(لوتين،مركبات نحاس الكلوروفيل). خمائر حليبية لليوغورت، ملح غذائي،.م.د % 2,85. مصنوع في خط قد يحتوى على الكلوتين و اللوز. رقم الاعتماد الصحى 2.1.13 MA LPL. الوزن الصافي : 110غ. سنطرال دانون - طريق القنيطرة ـ سلا - المغرب يستهلك حتى: أنظر أعلاه. يحفظ في 6°C على الأكثر 6 111032 002918",,0.0,https://images.openfoodfacts.org/images/products/611/103/200/2918/front_ar.36.400.jpg,3.0,
6111242103696,Yaourt grec,Jaouda,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts à la grecque",d,,b,150.0,8.0,8.0,16.1,16.1,,3.3,0.0,,,,https://images.openfoodfacts.org/images/products/611/124/210/3696/front_fr.27.400.jpg,4.0,2.0
6111242105676,LADID,Jaouda,"br:yaourt, en:yogurts",b,,b,95.0,1.4,0.5,17.5,9.4,,3.2,0.0,,,,https://images.openfoodfacts.org/images/products/611/124/210/5676/front_en.35.400.jpg,2.0,2.0
6111242102941,Yogurt Bnine BANANA,Jaouda,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Desserts lactés fermentés aromatisés, Yaourts au lait de vache, Yaourts aromatisés",c,,a,88.1,1.7,1.2,14.3,9.3,,3.9,0.0,"Lait frais partiellement écrémé, poudre de lait écrémé, sucre, arôme, ferments lactiques.",,0.0,https://images.openfoodfacts.org/images/products/611/124/210/2941/front_en.47.400.jpg,3.0,1.0
20665241,Yaourt à la grecque,envia,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Desserts lactés fermentés nature, Yaourts natures, Yaourts brassés, Yaourts à la grecque, Yaourts brassés nature",c,3.0,a,102.0,8.1,5.4,3.7,3.6,0.5,2.9,0.0975,"83,1% lait entier (Origine: France), crème (lait (Origine: France)), poudre de lait écrémé (Origine: France), ferments lactiques (lait),",en:milk,0.0,https://images.openfoodfacts.org/images/products/000/002/066/5241/front_en.65.400.jpg,3.0,1.0
4056489491217,Skyr,Milbona,"Produits laitiers,Produits fermentés,Produits laitiers fermentés,Desserts,Desserts lactés,Desserts lactés fermentés,Yaourts,Desserts lactés fermentés nature,Skyrs,Skyrs nature",a,1.0,a,62.0,0.2,0.133,4.0,4.0,,11.0,0.132,"Lait écrémé, ferments lactiques, enzyme coagulante d’origine microbienne selon approvisionnement",en:milk,0.0,https://images.openfoodfacts.org/images/products/405/648/949/1217/front_en.3.400.jpg,1.0,1.0
6111242102361,Raib vani jaouda,Jaouda,"Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourt à la grecque sur lit de fruits",c,4.0,b,81.0,2.0,1.0,13.0,11.0,2.0,3.0,1.0,"Lait frais partiellement écrémé, sucre, ferments lactiques, arômes. Matière grasse: 1,8%",,0.0,https://images.openfoodfacts.org/images/products/611/124/210/2361/front_fr.15.400.jpg,3.0,2.0
6111242101982,Ghilal,Jaouda,"Dairies, Fermented foods, Fermented milk products, Desserts, Dairy desserts, Fermented dairy desserts, Fermented dairy desserts with fruits, Yogurts, Fruit yogurts, fr:Yaourt brassé Aux fruits rouges, en:stirred-yogurts",c,4.0,b,106.0,3.0,2.2,16.0,7.5,0.0,3.5,0.0,"lait  frais, crème, sucre, poudre de lait écrémé, texturants: amidon, préparation de pulpe de fruits, arômes, ferments lactiques et colorant naturel",,0.0,https://images.openfoodfacts.org/images/products/611/124/210/1982/front_fr.22.400.jpg,3.0,2.0
