alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_ssssgrp_nom_fr,alim_code,alim_nom_fr,alim_nom_sci,"energie, règlement ue n° 1169/2011 (kj/100 g)","energie, règlement ue n° 1169/2011 (kcal/100 g)","energie, n x facteur jones, avec fibres  (kj/100 g)","energie, n x facteur jones, avec fibres  (kcal/100 g)",eau (g/100 g),"protéines, n x facteur de jones (g/100 g)","protéines, n x 6.25 (g/100 g)",glucides (g/100 g),lipides (g/100 g),sucres (g/100 g),fructose (g/100 g),galactose (g/100 g),glucose (g/100 g),lactose (g/100 g),maltose (g/100 g),saccharose (g/100 g),amidon (g/100 g),fibres alimentaires (g/100 g),polyols totaux (g/100 g),cendres (g/100 g),alcool (g/100 g),acides organiques (g/100 g),ag saturés (g/100 g),ag monoinsaturés (g/100 g),ag polyinsaturés (g/100 g),"ag 4:0, butyrique (g/100 g)","ag 6:0, caproïque (g/100 g)","ag 8:0, caprylique (g/100 g)","ag 10:0, caprique (g/100 g)","ag 12:0, laurique (g/100 g)","ag 14:0, myristique (g/100 g)","ag 16:0, palmitique (g/100 g)","ag 18:0, stéarique (g/100 g)","ag 18:1 9c (n-9), oléique (g/100 g)","ag 18:2 9c,12c (n-6), linoléique (g/100 g)","ag 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100 g)","ag 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100 g)","ag 20:5 5c,8c,11c,14c,17c (n-3) epa (g/100 g)","ag 22:6 4c,7c,10c,13c,16c,19c (n-3) dha (g/100 g)",cholestérol (mg/100 g),sel chlorure de sodium (g/100 g),calcium (mg/100 g),chlorure (mg/100 g),cuivre (mg/100 g),fer (mg/100 g),iode (µg/100 g),magnésium (mg/100 g),manganèse (mg/100 g),phosphore (mg/100 g),potassium (mg/100 g),sélénium (µg/100 g),sodium (mg/100 g),zinc (mg/100 g),rétinol (µg/100 g),beta-carotène (µg/100 g),vitamine d (µg/100 g),vitamine e (mg/100 g),vitamine k1 (µg/100 g),vitamine k2 (µg/100 g),vitamine c (mg/100 g),vitamine b1 ou thiamine (mg/100 g),vitamine b2 ou riboflavine (mg/100 g),vitamine b3 ou pp ou niacine (mg/100 g),vitamine b5 ou acide pantothénique (mg/100 g),vitamine b6 (mg/100 g),vitamine b9 ou folates totaux (µg/100 g),vitamine b12 (µg/100 g)
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31001,Barre chocolatée non biscuitée enrobée,,2080.0,496.0,2080.0,496.0,,,,,,,,,,,,33.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,42.0,,200.0,,200.0,,,,,,,,,,,,,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31002,"Barre à la noix de coco, enrobée de chocolat",,1990.0,475.0,1990.0,475.0,,,,,,53.0,,,,,,,,3.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,155.0,,,11.0,,,103.0,331.0,1.0,200.0,,8.0,11.0,,,,,,,,,,,25.0,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31004,"Chocolat au lait, tablette",,2240.0,537.0,2240.0,537.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,220.0,247.0,,,,59.0,,230.0,510.0,,78.0,,,,,,,,,,,,,,,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31005,"Chocolat noir à moins de 70% de cacao, à croquer, tablette",,,,,,,,,,,,,,,,,38.0,,12.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,120.0,,218.0,490.0,,,2.0,,,,,,,,,,,,,,0.0
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31009,"Chocolat au lait aux céréales croustillantes, tablette",,,,,,,,,,,,,,,,,39.0,,,,2.0,0.0,,,,,,,,,,,,,,,,,0.0,,23.0,,166.0,,,,23.0,48.0,,207.0,370.0,,205.0,,65.0,0.0,0.0,,,,,,,,,,11.0,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31010,"Chocolat blanc, tablette",,,,,,,,,,,56.0,,,,,,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,23.0,,281.0,,,,,,,230.0,350.0,3.0,88.0,,,75.0,,,,,0.0,,,,,,10.0,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31012,Barres ou confiserie chocolatées au lait,,2300.0,551.0,2300.0,551.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,116.0,,,,,187.0,,183.0,147.0,,90.0,,166.0,,,,,,,,,,,,,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31018,"Chocolat au lait aux fruits secs (noisettes, amandes, raisins, praline), tablette",,,,,,,,,,,,,,,,,35.0,,,,,0.0,,17.0,,,,,,,,,,,,,,,0.0,,,,187.0,,,,17.0,61.0,,206.0,617.0,,101.0,,37.0,22.0,,,0.0,,,,,,,,42.0,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31020,"Chocolat au lait sans sucres ajoutés, avec édulcorants, tablette",,2020.0,487.0,2020.0,487.0,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,130.0,,,,,,,150.0,,,135.0,,,,,,,,,,,,,,,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31026,"Chocolat blanc aux fruits secs (noisettes, amandes, raisins, praliné) , tablette",,,,,,,,,48.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,14.0,,,,,,,,230.0,,,,,,,,,,115.0,,,,,,,,,,,,,,,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31030,"Chocolat noir sans sucres ajoutés, avec édulcorants, en tablette",,2170.0,525.0,2170.0,525.0,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,50.0,152.0,,225.0,793.0,,,,0.0,32.0,0.0,,,,0.0,,,,,,35.0,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31032,Pâte à tartiner chocolat et noisette,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,17.0,,,183.0,503.0,,,1.0,0.0,0.0,0.0,,,,1.0,,,,,,73.0,0.0
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31041,Confiserie au chocolat dragéifiée,,2110.0,505.0,2110.0,505.0,,,,65.0,,,,,,,,,,,,,0.0,,15.0,,,,,,,,,,,,,,,,,,,231.0,,,,,,,292.0,112.0,,113.0,,194.0,,,,,,,,,,,,,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31042,Cacahuètes enrobées de chocolat dragéifiées,,2090.0,499.0,2090.0,499.0,,,,,25.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,100.0,131.0,,,,95.0,,230.0,500.0,,47.0,,,,,,,,,,,,,,,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31063,Bouchée chocolat fourrage fruits à coques et/ou praliné,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,275.0,,,,,52.0,,262.0,,,130.0,,,,,,,,,,,,,,,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31066,Rocher chocolat fourré praliné,,,,,,,,,,,,,,,,,,,,,,0.0,,,16.0,,,,,,,,,,16.0,,,,,,,,120.0,,,,,82.0,,200.0,430.0,,,,,,,,,,,,,,,,,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31069,"Chocolat noir aux fruits (orange, framboise, poire), tablette",,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,76.0,,,4.0,,102.0,,,,,,,,,,,,,,,,,,,,
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31070,"Chocolat noir aux fruits secs (noisettes, amandes, raisins, praline), tablette",,2360.0,567.0,2360.0,567.0,,,,,39.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,64.0,,,,,140.0,,230.0,510.0,,12.0,2.0,0.0,,,,,,,,,,,,,0.0
7,702,0,produits sucrés,chocolats et produits à base de chocolat,,31071,Barre chocolatée aux fruits secs,,2060.0,494.0,2060.0,494.0,,,,,26.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,122.0,,,,,,,198.0,,,151.0,,1.0,,,,,,0.0,,,,,,,
